long_name,original_FIP
"IA, Audubon County",G1900090
"IA, Benton County",G1900110
"IA, Black Hawk County",G1900130
"IA, Boone County",G1900150
"IA, Bremer County",G1900170
"IA, Buchanan County",G1900190
"IA, Buena Vista County",G1900210
"IA, Butler County",G1900230
"IA, Calhoun County",G1900250
"IA, Carroll County",G1900270
"IA, Cass County",G1900290
"IA, Cedar County",G1900310
"IA, Cerro Gordo County",G1900330
"IA, Cherokee County",G1900350
"IA, Chickasaw County",G1900370
"IA, Clarke County",G1900390
"IA, Clay County",G1900410
"IA, Clayton County",G1900430
"IA, Clinton County",G1900450
"IA, Crawford County",G1900470
"IA, Dallas County",G1900490
"IA, Davis County",G1900510
"IA, Decatur County",G1900530
"IA, Delaware County",G1900550
"IA, Des Moines County",G1900570
"IA, Dickinson County",G1900590
"IA, Dubuque County",G1900610
"IA, Emmet County",G1900630
"IA, Fayette County",G1900650
"IA, Floyd County",G1900670
"IA, Franklin County",G1900690
"IA, Fremont County",G1900710
"IA, Greene County",G1900730
"IA, Grundy County",G1900750
"IA, Guthrie County",G1900770
"IA, Hamilton County",G1900790
"IA, Hancock County",G1900810
"IA, Hardin County",G1900830
"IA, Harrison County",G1900850
"IA, Henry County",G1900870
"IA, Howard County",G1900890
"IA, Humboldt County",G1900910
"IA, Ida County",G1900930
"IA, Iowa County",G1900950
"IA, Jackson County",G1900970
"IA, Jasper County",G1900990
"IA, Jefferson County",G1901010
"IA, Johnson County",G1901030
"IA, Jones County",G1901050
"IA, Keokuk County",G1901070
"IA, Kossuth County",G1901090
"IA, Lee County",G1901110
"IA, Linn County",G1901130
"IA, Louisa County",G1901150
"IA, Lucas County",G1901170
"IA, Lyon County",G1901190
"IA, Madison County",G1901210
"IA, Mahaska County",G1901230
"IA, Marion County",G1901250
"IA, Marshall County",G1901270
"IA, Mills County",G1901290
"IA, Mitchell County",G1901310
"IA, Monona County",G1901330
"IA, Monroe County",G1901350
"IA, Montgomery County",G1901370
"IA, Muscatine County",G1901390
"IA, O'Brien County",G1901410
"IA, Osceola County",G1901430
"IA, Page County",G1901450
"IA, Palo Alto County",G1901470
"IA, Plymouth County",G1901490
"IA, Pocahontas County",G1901510
"IA, Polk County",G1901530
"IA, Pottawattamie County",G1901550
"IA, Poweshiek County",G1901570
"IA, Ringgold County",G1901590
"IA, Sac County",G1901610
"IA, Scott County",G1901630
"IA, Shelby County",G1901650
"IA, Sioux County",G1901670
"IA, Story County",G1901690
"IA, Tama County",G1901710
"IA, Taylor County",G1901730
"IA, Union County",G1901750
"IA, Van Buren County",G1901770
"IA, Wapello County",G1901790
"IA, Warren County",G1901810
"IA, Washington County",G1901830
"IA, Wayne County",G1901850
"IA, Webster County",G1901870
"IA, Winnebago County",G1901890
"IA, Winneshiek County",G1901910
"IA, Woodbury County",G1901930
"IA, Worth County",G1901950
"IA, Wright County",G1901970
"KS, Allen County",G2000010
"KS, Anderson County",G2000030
"KS, Atchison County",G2000050
"KS, Barber County",G2000070
"KS, Barton County",G2000090
"KS, Bourbon County",G2000110
"KS, Brown County",G2000130
"KS, Butler County",G2000150
"KS, Chase County",G2000170
"KS, Chautauqua County",G2000190
"KS, Cherokee County",G2000210
"KS, Cheyenne County",G2000230
"KS, Clark County",G2000250
"KS, Clay County",G2000270
"KS, Cloud County",G2000290
"KS, Coffey County",G2000310
"KS, Comanche County",G2000330
"KS, Cowley County",G2000350
"KS, Crawford County",G2000370
"KS, Decatur County",G2000390
"KS, Dickinson County",G2000410
"KS, Doniphan County",G2000430
"KS, Douglas County",G2000450
